"","pValue","Adjusted","logFC"
"tfdp1b",0.000159793133091113,0.116648987156512,0.813256649659454
"blzf1",0.919457539381408,1,0.387605399765564
"klf7a",0.189305424835149,1,1.10554364979157
"dachb",2.51116872018731e-06,0.00183315316573673,0.814806599695379
"si:dkey-5n7.2",0.778206818671341,1,0.822754557372261
"elf2b",0.135806020942935,1,0.738329850178989
"rbpja",0.991916723260765,1,0.259194921140109
"klf3",8.49604197439291e-07,0.000620211064130682,0.930493237259408
"lcorl",0.143962394380551,1,0.825598541005099
"mxd4",0.999964360455206,1,0.15664200864957
"tet2",0.092330292686423,1,1.49787990198811
"dachc",0.00105951608837773,0.773446744515744,1.82661808406133
"creb1a",0.00122722485253868,0.895874142353235,0.704802119140069
"smad1",0.960588877669078,1,0.508987543192324
"znf827",0.732862468488048,1,0.80018444012485
"hmgb2a",0,0,0.683843881522513
"irf2a",0.0127312515919762,1,0.633982771854047
"si:ch211-113e8.10",0.197616561788326,1,0.815174150191064
"si:ch211-89o9.6",4.93254482248906e-05,0.0360075772041701,1.05416834175255
"si:dkey-56e3.3",0.977619381455467,1,0.210410318960178
"si:ch73-109d9.3",0.0783387847351351,1,0.617544399267391
"si:ch73-109d9.2",0.000380196704594771,0.277543594354183,0.513807429777588
"sox1b",0.00202763354597979,1,0.511678265534
"pknox1.2",0.99800781946712,1,0.315823400663326
"msx1b",0.833301070366942,1,0.990989251362615
"otx1a",0.995317583771853,1,0.335991498295998
"meis1a",0,0,1.20703508482816
"junba",0,0,1.36801546988172
"smarca5",5.47367614567307e-08,3.99578358634134e-05,1.13920248854397
"rfx1b",0.999999999543999,1,0.023779530973015
"khsrp",4.34097202628436e-14,3.16890957918758e-11,2.1792063257336
"CU550716.1",0.999999988450075,1,0.0415460509651946
"si:ch73-221f6.3",0.917243041204775,1,0.678320432394924
"CU550716.2",0.414223444626481,1,1.72651010746258
"si:ch73-221f6.4",0.654313937196244,1,0.511424232291544
"znfl2a",0.0524605722255607,1,4.72150852031687
"zgc:113518",0.994667767769175,1,0.307432938360515
"znf1014",0.381372276207291,1,0.492504903971758
"CABZ01064859.1",0.387089829275612,1,0.61860043185655
"zgc:113452",0.999999999941558,1,0.0114203471714085
"zgc:174263",0.594420427048682,1,1.12442236399425
"foxq1a",2.575935686977e-09,1.88043305149321e-06,0.767095960211914
"si:ch211-241e1.5",0.370327475945645,1,0.412907339628126
"mier1b",0.999999997288742,1,0.0403974853473872
"zgc:153115",0.00286150451544376,1,0.742131798889323
"zzz3",0.0622601064117834,1,0.99579018256609
"bcl6ab",0.190366607128048,1,1.35935319264738
"gfi1aa",0,0,3.44592948795544
"kmt2cb",0.133863033123512,1,0.47222287158568
"zbtb41",0.572536336041452,1,0.974607076024704
"tfa",0.0195606874850565,1,1.79301867385848
"pbx1a",3.95888400701594e-05,0.0288998532512164,0.685859901054624
"rreb1b",0.861873647574423,1,0.6154326358212
"dnajc1",0.0424414082532069,1,0.385306838961676
"tox",0,0,3.64253644519655
"mllt1b",0.302449175403601,1,1.0704895040718
"znf414",0.293995144416851,1,1.33492782963593
"csrnp1a",0.889900172981148,1,0.747745004289075
"nr2f6a",1.78202824940854e-06,0.00130088062206823,0.722047583445918
"si:ch73-382f3.1",0.831627338129446,1,0.477588939086483
"e2f5",0.0495777456627639,1,0.503577156422534
"mycb",0.154031602855345,1,0.221707328982263
"ubtfl",0.000314189124152375,0.229358060631234,0.940763345380822
"si:dkey-154p10.3",0.999717504711074,1,0.173800898106541
"klf17",0,0,0.807183484990762
