"","pValue","Adjusted","logFC"
"tfdp1b",0.124328524537357,1,0.540686591967294
"blzf1",0.953209753273251,1,0.141766823023838
"klf7a",0.410680011773281,1,0.565293386539537
"dachb",0,0,0.565041614047519
"si:dkey-5n7.2",0.999983331189808,1,0.073819453132532
"elf2b",0.148375120220438,1,0.625190363056856
"rbpja",0.6204641467685,1,0.380195506239616
"klf3",0.000771399315951271,0.565435698592282,0.190169073242999
"lcorl",0.000908194872089152,0.665706841241348,1.22227432311501
"mxd4",0.00572241068235357,1,0.955143120650821
"tet2",0.000657720942404572,0.482109450782551,2.14181839426792
"dachc",0.987558813034284,1,0.369306576044422
"creb1a",0.175056481932825,1,0.416104441689837
"smad1",0.461623299477304,1,0.613218918447703
"znf827",1,1,0.62677989288772
"hmgb2a",0,0,0.516285921597413
"irf2a",0.0143679367739786,1,0.36989221643971
"si:ch211-113e8.10",0.00448934855113281,1,1.1126091710894
"si:ch211-89o9.6",0.997623994496939,1,0.096439715986045
"si:dkey-56e3.3",0.009218324308784,1,0.35971215416467
"si:ch73-109d9.3",0.999861294904719,1,0.0749956442188449
"si:ch73-109d9.2",0.000904997843041433,0.66336341894937,0.774785168871666
"sox1b",0,0,2.00033904267829
"pknox1.2",0.993549997160334,1,0.200000191699988
"msx1b",0.366699906532003,1,0.522377743952821
"otx1a",0.0346599029077312,1,1.22413637831408
"meis1a",2.22044604925031e-16,1.62758695410048e-13,0.963855989334222
"junba",0,0,1.10871565809463
"smarca5",0.248872425037858,1,0.135665394891305
"rfx1b",0.999987947210096,1,0.0163029487927202
"khsrp",4.97035712587746e-09,3.64327177326818e-06,0.636721124287876
"CU550716.1",0.0540986987478538,1,1.57880705512754
"si:ch73-221f6.3",0.0810939579142658,1,1.19528308870486
"CU550716.2",0.242416355311566,1,0.512300193916876
"si:ch73-221f6.4",0.982518122033619,1,0.17270700919857
"znfl2a",0.992281692833611,1,0.750011941824437
"zgc:113518",0.0049945042779741,1,2.58478610888099
"znf1014",0.0479424686376489,1,1.18147407727578
"CABZ01064859.1",0.999996808515284,1,0.0351463999181031
"zgc:113452",0.793520017086854,1,0.38789026284636
"zgc:174263",0.995656861150412,1,0.191664249751246
"foxq1a",0,0,0.555263448610959
"si:ch211-241e1.5",0.793610849793137,1,0.452350147793785
"mier1b",0.197442211506106,1,0.883320549699784
"zgc:153115",0.000110812834636542,0.0812258077885855,0.578954650738669
"zzz3",0.205401486364587,1,0.794583920446146
"bcl6ab",0.970898146376871,1,0.212421476226362
"gfi1aa",0.990433567681537,1,0.521314373601081
"kmt2cb",3.25507265597214e-05,0.0238596825682758,0.727876672371966
"zbtb41",0.00263206280621042,1,2.46810582412915
"tfa",3.92232825874306e-06,0.00287506661365866,1.69540714505719
"pbx1a",0.0608904425700519,1,0.758487477203279
"rreb1b",0.923801289197786,1,0.402961923513315
